KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000846001,T000846002,T000846003,T000846004,T000846005,T000846006,T000846007,T000846008,T000846009,T000846010,T000846011,T000846012,T000846013,T000846014,T000846015,T000846016,T000846017,T000846018,T000846019,T000846020,T000846021,T000846022,T000846023,T000846024,T000846025,T000846026,T000846027,T000846028,T000846029,T000846030,T000846031,T000846032,T000846033,T000846034,T000846035,T000846036,T000846037,T000846038,T000846039,T000846040,T000846041
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇQêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇRêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇSêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇTêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇUêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—ÇÃàÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃàÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@çÇóÓíPêgÇÃàÍî ê¢ë—êî,Å@çÇóÓïvïwÇÃÇ›ÇÃàÍî ê¢ë—êî
56394371,0,,,102,50,52,7,4,3,95,46,49,43,24,19,90,43,47,52,22,30,35,15,20,0,0,0,45,45,16,15,7,4,0,2,1,28,18,10,0,38,0,15,10
56394380,0,,,35,17,18,1,0,1,34,17,17,20,12,8,31,14,17,14,5,9,10,1,9,0,0,0,17,17,7,5,3,1,1,0,0,10,7,3,0,12,0,5,1
56394381,0,,,135,67,68,9,1,8,126,66,60,77,44,33,120,61,59,49,22,27,30,12,18,1,0,1,42,42,3,13,9,10,4,2,1,38,23,15,1,31,0,2,7
56394391,0,,,102,50,52,15,6,9,87,44,43,51,28,23,84,43,41,36,16,20,24,9,15,0,0,0,29,29,4,9,6,2,2,2,4,25,11,14,5,24,0,2,3
56394392,0,,,39,16,23,4,2,2,35,14,21,17,7,10,34,13,21,18,7,11,12,4,8,0,0,0,15,15,3,5,4,2,0,1,0,12,8,4,1,13,0,3,3
56394394,0,,,28,12,16,1,1,0,27,11,16,6,3,3,27,11,16,21,8,13,18,7,11,0,0,0,15,15,7,6,0,1,1,0,0,8,6,2,0,14,0,6,6
56394401,2,56394402,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
56394402,1,,56394401,20,10,10,1,0,1,23,12,11,11,5,6,22,12,10,12,7,5,5,3,2,0,0,0,6,6,1,1,2,1,1,1,0,6,3,3,0,7,0,1,0
56394406,0,,,9,5,4,0,0,0,9,5,4,2,2,0,9,5,4,7,3,4,4,1,3,0,0,0,6,6,4,1,1,0,0,0,0,2,2,0,0,6,0,4,0
56394407,0,,,26,15,11,0,0,0,26,15,11,6,4,2,26,15,11,20,11,9,13,7,6,0,0,0,14,14,6,6,1,0,1,0,0,8,7,1,0,12,0,5,5
56394408,0,,,70,29,41,4,3,1,66,26,40,26,14,12,65,25,40,40,12,28,30,8,22,0,0,0,31,31,14,7,4,4,0,1,1,17,10,7,3,30,0,14,4
56394409,1,,56394419,28,14,14,0,0,0,32,16,16,14,8,6,32,16,16,18,8,10,12,5,7,0,0,0,14,14,7,4,4,0,1,0,0,9,6,3,0,13,0,4,4
56394415,0,,,15,7,8,0,0,0,15,7,8,3,3,0,15,7,8,12,4,8,8,3,5,0,0,0,9,9,5,2,2,0,0,0,0,4,4,0,0,8,0,4,2
56394416,0,,,38,17,21,2,1,1,36,16,20,16,8,8,34,16,18,20,8,12,14,5,9,0,0,0,14,14,4,3,3,2,1,1,0,10,5,5,0,13,0,4,2
56394417,0,,,40,21,19,0,0,0,40,21,19,13,9,4,40,21,19,27,12,15,20,9,11,0,0,0,19,19,5,9,3,2,0,0,0,14,12,2,0,17,0,5,5
56394419,2,56394409,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
